X,Y,yr,doy,top,bed,thk
-859504.3075286243,-826682.288798328,2014,84,664.4378,287.9878,376.44
-859510.0701308965,-826696.0040612029,2014,84,665.7475,288.6175,377.13
-859515.7616608797,-826709.4778749553,2014,84,665.8182,287.9982,377.82
-859521.5252277747,-826722.8767575077,2014,84,665.8733,286.6233,379.26
-859527.2742594737,-826736.2907168423,2014,84,665.9136,285.9736,379.95
-859533.2450510445,-826749.9470365171,2014,84,665.9412,286.6812,379.26
-859539.044971431,-826763.1503703779,2014,84,665.9562,287.4362,378.52
-859545.0522241064,-826776.6110663667,2014,84,665.9612,286.7112,379.26
-859551.1092761351,-826790.1776040788,2014,84,667.1889,287.2389,379.95
-859557.1097073545,-826803.4876785497,2014,84,669.7221,289.7721,379.95
-859563.2176620428,-826816.8435852826,2014,84,670.9337,293.0637,377.87
-859569.2756140783,-826830.0937980654,2014,84,670.9278,294.5878,376.35
-859575.5553241853,-826843.5863772634,2014,84,670.9266,290.9366,379.99
-859581.6497641251,-826856.6409526579,2014,84,670.9333,290.2533,380.68
-859588.0014316035,-826870.0586667618,2014,84,672.1911,293.7111,378.48
-859594.2676345829,-826883.2499117096,2014,84,674.7623,294.0723,380.69
-859600.6912648326,-826896.5927585937,2014,84,676.0374,292.5774,383.46
-859607.0084042584,-826909.5733552956,2014,84,676.0955,291.2055,384.89
-859613.4895729355,-826922.8563338968,2014,84,676.1697,290.5897,385.58
-859619.99291463,-826935.9585960837,2014,84,676.2584,290.6784,385.58
-859626.510597639,-826949.0459248462,2014,84,676.3602,290.7802,385.58
-859633.1069496259,-826962.2090901305,2014,84,676.4796,290.8996,385.58
-859639.7753770179,-826975.2973080339,2014,84,677.8437,292.2637,385.58
-859646.4082562841,-826988.2648166108,2014,84,680.522,294.942,385.58
-859653.1486750959,-827001.2781533066,2014,84,681.9187,295.6487,386.28
-859659.8391158596,-827014.1857820495,2014,84,682.1015,294.4015,387.7
-859666.7513128235,-827027.3357871869,2014,84,682.3064,293.9164,388.39
-859673.5925123477,-827040.2442989476,2014,84,682.5286,294.1386,388.39
-859680.4624973998,-827053.1228685497,2014,84,682.7685,292.9885,389.78
-859687.4754801665,-827066.1680472833,2014,84,683.0334,291.7834,391.25
-859694.5316839861,-827079.1682798882,2014,84,683.3202,293.5402,389.78
-859701.467016005,-827091.8212319659,2014,84,683.6206,295.2306,388.39
-859708.5807985525,-827104.7615769387,2014,84,683.9502,295.5602,388.39
-859715.6879222823,-827117.551192545,2014,84,684.2957,295.2057,389.09
-859722.8238395312,-827130.3108619606,2014,84,685.8935,294.6835,391.21
-859730.1171917083,-827143.2221371804,2014,84,688.8148,295.4848,393.33
-859737.3251356551,-827155.9069075544,2014,84,690.4489,296.4289,394.03
-859744.6760789447,-827168.7582890125,2014,84,690.8779,296.8579,394.03
-859751.9061744484,-827181.2623735617,2014,84,691.3132,297.2932,394.03
-859759.3291523788,-827194.0388518916,2014,84,691.7774,297.7574,394.03
-859766.7454876582,-827206.6645909143,2014,84,692.2525,296.8425,395.42
-859774.1906261663,-827219.2603784715,2014,84,692.7474,294.4874,398.26
-859781.6645692226,-827231.8262137837,2014,84,693.2581,294.9981,398.26
-859789.2959508755,-827244.543655348,2014,84,693.7941,298.3841,395.41
-859796.8065052339,-827256.9137857183,2014,84,694.3334,300.3134,394.03
-859804.4955010023,-827269.5713204483,2014,84,694.9037,300.8837,394.03
-859812.1923061524,-827282.0631008705,2014,84,695.4812,300.0712,395.41
-859819.7892935994,-827294.3433626413,2014,84,696.0653,297.8053,398.26
